,KAB_KOTA,latitude,longitude
0,BANJARNEGARA,-7.351881829709656,109.65741922036213
1,BANYUMAS,-7.455150708428221,109.17557699018985
2,BATANG,-7.021299755307651,109.86146970934568
3,BLORA,-7.075963093787902,111.38763616449978
4,BOYOLALI,-7.418561645038242,110.65065681280092
5,BREBES,-7.059325159863989,108.92751651701703
6,CILACAP,-7.490962523933428,108.89041230450694
7,DEMAK,-6.911116755265293,110.63201524167498
8,GROBOGAN,-7.116879808028952,110.92710123228498
9,JEPARA,-6.548685146384008,110.76779458240382
10,KARANGANYAR,-7.614457624555091,111.01926549538314
11,KEBUMEN,-7.65546061971284,109.61765420945088
12,KENDAL,-7.037781342496956,110.15603081295285
13,KLATEN,-7.686168263691046,110.61984628430957
14,KOTA MAGELANG,-7.47714250218788,110.22013213762892
15,KOTA PEKALONGAN,-6.893008874364621,109.67788502485364
16,KOTA SALATIGA,-7.338272018946841,110.49842724532516
17,KOTA SEMARANG,-7.020418570367906,110.38953416989362
18,KOTA SURAKARTA,-7.558081383158961,110.82338979306452
19,KOTA TEGAL,-6.868822656472204,109.1157703213994
20,KUDUS,-6.789066715422252,110.86972283805515
21,MAGELANG,-7.501585384967259,110.24690408792566
22,PATI,-6.743424068985013,111.04141339879183
23,PEKALONGAN,-7.056776333690748,109.6204183711373
24,PEMALANG,-7.036540864508398,109.39497886110465
25,PURBALINGGA,-7.322916269842262,109.40731830303017
26,PURWOREJO,-7.69945342556587,109.96577108692063
27,REMBANG,-6.775489943129961,111.4612991431257
28,SEMARANG,-7.27187113990738,110.47572953902578
29,SRAGEN,-7.387130652032245,110.97743452911041
30,SUKOHARJO,-7.6804343419422665,110.83492408974736
31,TEGAL,-7.031092804205433,109.15839663896445
32,TEMANGGUNG,-7.2578584008529425,110.13563215420291
33,WONOGIRI,-7.920157412725267,111.00394353442454
34,WONOSOBO,-7.415535196984849,109.90722304704413
